Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,St Kilda,-49.2,-39.6,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Sydney,22.3,10.9,Y
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,West Coast,-33.0,-6.3,
S.C.G.,,Sydney,-33.89143,151.22352,46817,149,136,NSW,Western Bulldogs,-20.4,-12.2,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Carlton,-24.0,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Collingwood,13.3,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Essendon,-12.0,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Fremantle,-24.0,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Geelong,-43.0,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Greater Western Sydney,-24.2,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Hawthorn,27.3,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,North Melbourne,-22.5,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Richmond,3.0,,
Stadium Australia,ANZ,Sydney,-33.849319,151.062119,82500,170,128,NSW,Sydney,2.8,,Y
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Adelaide,-2.3,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Brisbane Lions,-59.1,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Carlton,-9.9,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Collingwood,-30.8,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Essendon,-29.7,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Fremantle,11.7,,Y
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Geelong,0.8,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Gold Coast,-51.5,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Greater Western Sydney,-54.9,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Hawthorn,9.3,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Melbourne,-49.6,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,North Melbourne,-23.5,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Port Adelaide,-16.1,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Richmond,21.8,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,St Kilda,-48.0,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Sydney,20.6,,
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,West Coast,22.8,,Y
Subiaco,,Perth,-31.94362,115.83462,43082,175,122,WA,Western Bulldogs,-41.4,,
